Processor,Description
"Intel Core i7-1265UE(14%)9,471$472.00*","Intel Core i7-1265UE


Description: Intel Iris Xe Graphics eligible


Class: Laptop, Mobile/Embedded
Socket: FCBGA1744


Total Cores: 10 Cores, 12 Threads
Performance Cores: 2 Cores, 4 Threads, NA Base, 4.7 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, NA Base, 3.5 GHz Turbo

Typical TDP: 28 WTDP Down: 15 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 64 KBL2 Cache: 1 x 2048 KBL3 Cache: 12 MB
Memory Support: Max. Memory Size: 64 GB (DDR4 3200, DDR5 4800, LPDDR5 5200, LPDDR4x 4267)


Other names: 12th Gen Intel(R) Core(TM) i7-1265UE
CPU First Seen on Charts: Q4 2022
CPUmark/$Price: 20.06
Overall Rank:
1208th fastest in multithreading out of 4854 CPUs757th fastest in single threading out of 4854 CPUs280th fastest in out of 1421 Laptop CPUs76th fastest in out of 1021 Mobile/Embedded CPUs 
Last Price Change: $472.00 USD (2022-01-01)




Average CPU Mark


Multithread Rating
9471 Single Thread Rating
2582
 Samples: 5*
					
					*Margin for error: High


+ Compare"
"AMD Ryzen 5 7520U(13%)9,233NA","AMD Ryzen 5 7520U


Description: with Radeon Graphics


Class: Laptop
Socket: FP6
Clockspeed: 2.8 GHzTurbo Speed: 4.3 GHzCores: 4 Threads: 8Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 512 KBL3 Cache: 4 MB


Other names: AMD Ryzen 5 7520U with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
1236th fastest in multithreading out of 4854 CPUs850th fastest in single threading out of 4854 CPUs284th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
9233 Single Thread Rating
2479
 Samples: 279*
					
					*Margin for error: Low


+ Compare"
"Intel Core i3-1305U(13%)8,956$309.00*","Intel Core i3-1305U


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1744


Total Cores: 5 Cores, 6 Threads
Performance Cores: 1 Cores, 2 Threads, 1.6 GHz Base, 4.5 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, 1.2 GHz Base, 3.3 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 1 x 32 KBL1 Data Cache: 1 x 48 KBL2 Cache: 1 x 1280 KBL3 Cache: 10 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT)


Other names: 13th Gen Intel(R) Core(TM) i3-1305U
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 28.98
Overall Rank:
1260th fastest in multithreading out of 4854 CPUs348th fastest in single threading out of 4854 CPUs286th fastest in out of 1421 Laptop CPUs 
Last Price Change: $309.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
8956 Single Thread Rating
3328
 Samples: 17*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 3 7320U(13%)8,850NA","AMD Ryzen 3 7320U


Description: AMD Radeon 610M


Class: Laptop
Socket: FP7
Clockspeed: 2.4 GHzTurbo Speed: 4.1 GHzCores: 4 Threads: 8Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 512 KBL3 Cache: 4 MB


Other names: AMD Ryzen 3 7320U with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
1270th fastest in multithreading out of 4854 CPUs951st fastest in single threading out of 4854 CPUs289th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
8850 Single Thread Rating
2381
 Samples: 148*
					
					*Margin for error: Low


+ Compare"
"Intel Core i3-N300(13%)8,693$309.00*","Intel Core i3-N300


Description: Intel UHD Graphics


Class: Laptop
Socket: FCBGA1264
Turbo Speed: 3.8 GHzCores: 8 Threads: 8Typical TDP: 7 W
Cache per CPU Package:L1 Instruction Cache: 8 x 64 KBL1 Data Cache: 8 x 32 KBL2 Cache: 2 x 2048 KBL3 Cache: 6 MB
Memory Support: Max. Memory Size: 16 GB (DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s)


Other names: Intel(R) Core(TM) i3-N300, Intel Core i3-N300
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: 28.13
Overall Rank:
1276th fastest in multithreading out of 4854 CPUs1361st fastest in single threading out of 4854 CPUs290th fastest in out of 1421 Laptop CPUs 
Last Price Change: $309.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
8693 Single Thread Rating
2068
 Samples: 17*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 3 7320C(12%)8,614NA","AMD Ryzen 3 7320C


Description: AMD Radeon 610M


Class: Laptop
Socket: FT6
Clockspeed: 2.4 GHzTurbo Speed: 4.1 GHzCores: 4 Threads: 8Typical TDP: 15 W


Other names: AMD Ryzen 3 7320C with Radeon Graphics
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: NA
Overall Rank:
1285th fastest in multithreading out of 4854 CPUs898th fastest in single threading out of 4854 CPUs291st fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
8614 Single Thread Rating
2436
 Samples: 5*
					
					*Margin for error: High


+ Compare"
"Intel U300(12%)8,299$193.00*","Intel U300


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1744


Total Cores: 5 Cores, 6 Threads
Performance Cores: 1 Cores, 2 Threads, NA Base, 4.4 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, NA Base, 3.3 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 1 x 32 KBL1 Data Cache: 1 x 48 KBL2 Cache: 1 x 1280 KBL3 Cache: 8 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 2048 KB


Other names: Intel(R) Processor U300, Intel Processor U300
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: 43.00
Overall Rank:
1321st fastest in multithreading out of 4854 CPUs479th fastest in single threading out of 4854 CPUs299th fastest in out of 1421 Laptop CPUs 
Last Price Change: $193.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
8299 Single Thread Rating
3037
 Samples: 18*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 5 Microsoft Surface Edition(10%)7,243NA","AMD Ryzen 5 Microsoft Surface Edition


Description: Radeon Vega 9 Graphics


Class: Laptop
Socket: FP5
Clockspeed: 2.1 GHzTurbo Speed: 3.7 GHzCores: 4 Threads: 8Typical TDP: 15 WTDP Down: 12 WTDP Up: 35 W


Other names: AMD Ryzen 5 Microsoft Surface  Edition
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
1458th fastest in multithreading out of 4854 CPUs1731st fastest in single threading out of 4854 CPUs340th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
7243 Single Thread Rating
1815
 Samples: 1*
					
					*Margin for error: High


+ Compare"
"Intel Core i3-1025G1 @ 1.20GHz(9%)6,180NA","Intel Core i3-1025G1 @ 1.20GHz


Description: Intel UHD Graphics


Class: Laptop
Socket: BGA 1526
Clockspeed: 1.2 GHzTurbo Speed: 3.6 GHzCores: 4 Threads: 4
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 48 KBL2 Cache: 4 x 512 KBL3 Cache: 6 MB


Other names: Intel(R) Core(TM) i3-1025G1 CPU @ 1.20GHz
CPU First Seen on Charts: Q3 2024
CPUmark/$Price: NA
Overall Rank:
1645th fastest in multithreading out of 4854 CPUs960th fastest in single threading out of 4854 CPUs386th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
6180 Single Thread Rating
2368
 Samples: 1*
					
					*Margin for error: High


+ Compare"
"Intel N95(8%)5,375NA","Intel N95


Description: Intel UHD Graphics


Class: Laptop, Mobile/Embedded
Socket: 
Clockspeed: 1.7 GHzTurbo Speed: 3.4 GHzCores: 4 Threads: 4Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 4 x 64 KBL1 Data Cache: 4 x 32 KBL2 Cache: 1 x 2048 KBL3 Cache: 6 MB


Other names: Intel(R) N95, Intel N95
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
1809th fastest in multithreading out of 4854 CPUs1563rd fastest in single threading out of 4854 CPUs428th fastest in out of 1421 Laptop CPUs214th fastest in out of 1021 Mobile/Embedded CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
5375 Single Thread Rating
1931
 Samples: 403*
					
					*Margin for error: Low


+ Compare"
"AMD Athlon Gold 7220U(7%)4,740NA","AMD Athlon Gold 7220U


Description: AMD Radeon 610M


Class: Laptop
Socket: FP6
Clockspeed: 2.4 GHzTurbo Speed: 3.7 GHzCores: 2 Threads: 4Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 32 KBL2 Cache: 2 x 512 KBL3 Cache: 4 MB


Other names: AMD Athlon Gold 7220U with Radeon Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
1922nd fastest in multithreading out of 4854 CPUs1325th fastest in single threading out of 4854 CPUs455th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
4740 Single Thread Rating
2094
 Samples: 10*
					
					*Margin for error: Medium


+ Compare"
"Intel Core i7-6970HQ @ 2.80GHz(6%)4,632NA","Intel Core i7-6970HQ @ 2.80GHz


Description: Intel Iris Pro Graphics 580


Class: Laptop
Socket: FCBGA1440
Clockspeed: 2.8 GHzTurbo Speed: 3.7 GHzCores: 4 Threads: 8Typical TDP: 45 WTDP Down: 35 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 256 KBL3 Cache: 8 MB
Memory Support: Max. Memory Size: 64 GB (DDR4-2133, LPDDR3-1866, DDR3L-1600)


Other names: Intel(R) Core(TM) i7-6970HQ CPU @ 2.80GHz
CPU First Seen on Charts: Q3 2023
CPUmark/$Price: NA
Overall Rank:
1942nd fastest in multithreading out of 4854 CPUs2163rd fastest in single threading out of 4854 CPUs459th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
4632 Single Thread Rating
1532
 Samples: 1*
					
					*Margin for error: High


+ Compare"
"AMD Athlon PRO 300U(6%)4,080NA","AMD Athlon PRO 300U


Description: w/ Radeon Vega 3 Graphics


Class: Laptop
Socket: FP5
Clockspeed: 2.4 GHzTurbo Speed: 3.3 GHzCores: 2 Threads: 4Typical TDP: 15 W


Other names: AMD Athlon PRO 300U w/ Radeon Vega Mobile Gfx
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
2074th fastest in multithreading out of 4854 CPUs1564th fastest in single threading out of 4854 CPUs474th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
4080 Single Thread Rating
1931
 Samples: 2*
					
					*Margin for error: High


+ Compare"
"Intel Core i3-6167U @ 2.70GHz(4%)3,255NA","Intel Core i3-6167U @ 2.70GHz


Description: Intel Iris Graphics 550


Class: Laptop
Socket: FCBGA1356
Clockspeed: 2.7 GHzCores: 2 Threads: 4Typical TDP: 28 WTDP Down: 23 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 32 KBL2 Cache: 2 x 256 KBL3 Cache: 3 MB


Other names: Intel(R) Core(TM) i3-6167U CPU @ 2.70GHz
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
2340th fastest in multithreading out of 4854 CPUs2005th fastest in single threading out of 4854 CPUs530th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
3255 Single Thread Rating
1636
 Samples: 4*
					
					*Margin for error: High


+ Compare"
"AMD Athlon Silver 7120U(4%)3,209NA","AMD Athlon Silver 7120U


Description: AMD Radeon 610M


Class: Laptop
Socket: FP6
Clockspeed: 2.4 GHzTurbo Speed: 3.5 GHzCores: 2 Threads: 2Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 32 KBL2 Cache: 2 x 512 KBL3 Cache: 2 MB


Other names: AMD Athlon Silver 7120U with Radeon Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
2367th fastest in multithreading out of 4854 CPUs1513th fastest in single threading out of 4854 CPUs536th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
3209 Single Thread Rating
1965
 Samples: 10*
					
					*Margin for error: Medium


+ Compare"
"ARM Cortex-A78 4 Core 2000 MHz(4%)3,016NA","ARM Cortex-A78 4 Core 2000 MHz


Description: 


Class: Laptop, Mobile/Embedded
Socket: 
Clockspeed: 2.0 GHzCores: 4 Threads: 8


Other names: ARM Cortex-A78 4 Core 2000 MHz
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
2441st fastest in multithreading out of 4854 CPUs2937th fastest in single threading out of 4854 CPUs550th fastest in out of 1421 Laptop CPUs417th fastest in out of 1021 Mobile/Embedded CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
3016 Single Thread Rating
1121
 Samples: 4*
					
					*Margin for error: High


+ Compare"
"AMD Athlon PRO 3045B(3%)2,618NA","AMD Athlon PRO 3045B


Description: with Radeon Graphics


Class: Laptop
Socket: FP5
Clockspeed: 2.3 GHzTurbo Speed: 3.2 GHzCores: 2 Threads: 2Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 2 x 64 KBL1 Data Cache: 2 x 32 KBL2 Cache: 2 x 512 KBL3 Cache: 4 MB


Other names: AMD Athlon PRO 3045B with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
2617th fastest in multithreading out of 4854 CPUs2232nd fastest in single threading out of 4854 CPUs598th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
2618 Single Thread Rating
1493
 Samples: 3*
					
					*Margin for error: High


+ Compare"
AMD A4-1350 APU(1%)911NA,"AMD A4-1350 APU


Description: 


Class: Laptop
Socket: FT3
Clockspeed: 1.0 GHzCores: 4 Threads: 4Typical TDP: 8 W


Other names: AMD A4-1350 APU with Radeon HD Graphics, AMD A4-1350 APU with Radeon(TM) HD Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
3849th fastest in multithreading out of 4854 CPUs4550th fastest in single threading out of 4854 CPUs977th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
911 Single Thread Rating
345
 Samples: 2*
					
					*Margin for error: High


+ Compare"
AMD Turion X2 Dual-Core Mobile RM-76(1%)799NA,"AMD Turion X2 Dual-Core Mobile RM-76


Description: 


Class: Laptop
Socket: S1
Clockspeed: 2.3 GHzCores: 2 Threads: 2Typical TDP: 35 W
Cache per CPU Package:L1 Instruction Cache: 2 x 64 KBL1 Data Cache: 2 x 64 KBL2 Cache: 2 x 512 KB


Other names: AMD Turion(tm) X2 Dual-Core Mobile RM-76
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
3976th fastest in multithreading out of 4854 CPUs3657th fastest in single threading out of 4854 CPUs1029th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
799 Single Thread Rating
761
 Samples: 2*
					
					*Margin for error: High


+ Compare"
