Name,Processor,Video Card,Display,Storage,RAM,Weight
Apple MacBook Pro 13,Apple M1,Apple M1 GPU (8-core),"13.3”, WQXGA (2560 x 1600), IPS",512GB SSD,8GB DDR4,1.40 kg (3.1 lbs)
ASUS Chromebook C423,Intel Celeron N3350,Intel HD Graphics 500 (Apollo Lake),"14.0”, HD (1366 x 768), TN",64GB SSD,4GB LPDDR4,1.22 kg (2.7 lbs)
Lenovo Yoga 7i 14,Intel Core i5-1135G7,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,"16GB DDR4, 3200 MHz",1.43 kg (3.2 lbs)
Dell Inspiron 5410 2-in-1,Intel Core i5-1135G7,NVIDIA GeForce MX350,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,"8GB DDR4, 3200 MHz",1.65 kg (3.6 lbs)
Lenovo IdeaPad 5 15,AMD Ryzen 7 5700U,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,"16GB DDR4, 3200 MHz",1.66 kg (3.7 lbs)
Dell G5 5500,Intel Core i5-10300H,NVIDIA GeForce GTX 1650 Ti (Laptop),"15.6”, Full HD (1920 x 1080), 120 Hz, IPS",512GB SSD,8GB DDR4,2.34 kg (5.2 lbs)
Dell Inspiron 3511,Intel Core i3-1115G4,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,"8GB DDR4, 3200 MHz",1.73 kg (3.8 lbs)
HP 15,AMD Ryzen 5 4500U,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, HD (1366 x 768), TN",256GB SSD,"8GB DDR4, 2666 MHz",1.74 kg (3.8 lbs)
MSI GP65 Leopard 10Sx,Intel Core i7-10750H,NVIDIA GeForce RTX 2070 (Laptop),"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD + 1000GB HDD,"32GB DDR4, 2666 MHz",2.30 kg (5.1 lbs)
Lenovo IdeaPad 3 15 Gaming,AMD Ryzen 7 4800H,"NVIDIA GeForce GTX 1650 (Laptop, 50W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,"8GB DDR4, 3200 MHz",2.20 kg (4.9 lbs)
ASUS ROG Zephyrus M16 GU603,Intel Core i7-11800H,"NVIDIA GeForce RTX 3050 Ti (Laptop, 75W)","16.0″, WUXGA (1920 x 1200), 144 Hz, IPS + FreeSync",1000GB SSD,"2x 8GB DDR4, 3200 MHz",1.90 kg (4.2 lbs)
Acer Aspire 3,Intel Core i3-1115G4,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,8GB DDR4,1.70 kg (3.7 lbs)
Lenovo IdeaPad 5 15,Intel Core i5-1135G7,"NVIDIA GeForce MX450 (GDDR6, 25W / 28.5W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,"16GB DDR4, 3200 MHz",1.66 kg (3.7 lbs)
Dell G3 3500,Intel Core i7-10750H,NVIDIA GeForce GTX 1650 (Laptop),"15.6”, Full HD (1920 x 1080), 120 Hz, IPS",512GB SSD,"2x 4GB DDR4, 2933 MHz",2.34 kg (5.2 lbs)
Dell Inspiron 3515,AMD Ryzen 3 3250U,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,"8GB DDR4, 2400 MHz",1.71 kg (3.8 lbs)
HP Pavilion 14,AMD Ryzen 5 5500U,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",512GB SSD,8GB DDR4,1.41 kg (3.1 lbs)
MSI GF65 Thin,Intel Core i7-10750H,NVIDIA GeForce RTX 2060 (Laptop),"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,"2x 8GB DDR4, 2666 MHz",1.86 kg (4.1 lbs)
Acer Aspire 3,Intel Core i5-1035G1,"NVIDIA GeForce MX330 (2GB GDDR5, 25W)","15.6”, Full HD (1920 x 1080), TN",1000GB HDD,8GB DDR4,1.90 kg (4.2 lbs)
Acer Swift 3,Intel Core i5-8250U,NVIDIA GeForce MX150 (2GB GDDR5),"15.6”, Full HD (1920 x 1080), IPS",1000GB HDD,"2x 4GB DDR4, 2400 MHz",1.80 kg (4 lbs)
Apple MacBook Air 13 (2020),Intel Core i5-1030NG7,Intel Iris Plus Graphics G7,"13.3”, WQXGA (2560 x 1600), IPS",512GB SSD,8GB LPDDR4x,1.29 kg (2.8 lbs)
HP Pavilion Gaming 15,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650 (Laptop),"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",256GB SSD + 1000GB HDD,"8GB DDR4, 3200 MHz",1.98 kg (4.4 lbs)
Acer Swift 5,Intel Core i7-1165G7,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,16GB LPDDR4x,1.00 kg (2.2 lbs)
Lenovo Yoga Slim 7i 14,Intel Core i5-1035G1,NVIDIA GeForce MX350,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,"8GB LPDDR4x, 3200 MHz",1.40 kg (3.1 lbs)
Lenovo IdeaPad 5 14,Intel Core i5-1135G7,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,"16GB DDR4, 3200 MHz",1.38 kg (3 lbs)
Dell Inspiron 3505,AMD Ryzen 5 3450U,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","15.6”, Full HD (1920 x 1080), IPS",256GB SSD,8GB DDR4,1.96 kg (4.3 lbs)
ASUS TUF Gaming Dash F15,Intel Core i7-11370H,"NVIDIA GeForce RTX 3050 Ti (Laptop, 75W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS + FreeSync",1000GB SSD,"2x 8GB DDR4, 3200 MHz",2.00 kg (4.4 lbs)
Microsoft Surface Pro X,Microsoft SQ1,Qualcomm Adreno 685,"13.0 , PixelSense (2880 x 1920), IPS",128GB SSD,8GB LPDDR4x,0.77 kg (1.7 lbs)
MSI Prestige 15 (A10SC-012),Intel Core i7-10710U,NVIDIA GeForce GTX 1650 Max-Q,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,16GB DDR4,1.60 kg (3.5 lbs)
Lenovo IdeaPad S145 15,AMD Ryzen 5 3500U,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","15.6”, Full HD (1920 x 1080), TN",1000GB HDD,"2x 4GB DDR4, 2400 MHz",1.85 kg (4.1 lbs)
Lenovo IdeaPad S145 15,Intel Core i3-1005G1,Intel UHD Graphics G1,"15.6”, Full HD (1920 x 1080), TN",1000GB HDD,"4GB DDR4, 2666 MHz",1.85 kg (4.1 lbs)
ASUS ROG Flow X13,AMD Ryzen 9 5900HS,"NVIDIA GeForce RTX 3050 Ti (Laptop, 40W)","13.4, FHD+ (1920 x 1200), 120 Hz, IPS + FreeSync",1000GB SSD,"32GB LPDDR4x, 4266 MHz",1.30 kg (2.9 lbs)
